En(eV)	Re[e11]	Im[e11]	Re[e12]	Im[e12]	Re[e13]	Im[e13]	Re[e22]	Im[e22]	Re[e23]	Im[e23]	Re[e33]	Im[e33]
3.80862 2.10503 0.0016271 -3.52443e-07 1.31352e-07 0 0 -2.37466 3.43254 0.354298 -0.271791 2.07195 0.0215206
3.81862 2.10523 0.00181813 -3.33229e-07 1.1587e-07 0 0 -2.16587 2.95653 0.337766 -0.2341 2.07326 0.0185362
3.82862 2.10542 0.00206314 -3.15669e-07 1.02886e-07 0 0 -1.91403 2.59031 0.317825 -0.205103 2.07484 0.0162403
3.83862 2.10558 0.00237023 -2.99612e-07 9.19091e-08 0 0 -1.64614 2.31711 0.296613 -0.183471 2.07651 0.0145274
3.84862 2.10568 0.00274039 -2.84913e-07 8.2556e-08 0 0 -1.37732 2.12226 0.275328 -0.168043 2.0782 0.0133059
3.85862 2.10566 0.00315516 -2.71432e-07 7.45295e-08 0 0 -1.11633 1.99525 0.254662 -0.157987 2.07984 0.0125097
3.86862 2.1055 0.00356021 -2.59044e-07 6.75954e-08 0 0 -0.869452 1.92993 0.235115 -0.152815 2.08138 0.0121002
3.87862 2.10519 0.00386315 -2.47635e-07 6.1568e-08 0 0 -0.643621 1.92381 0.217233 -0.152332 2.0828 0.012062
3.88862 2.1048 0.00397407 -2.37104e-07 5.62987e-08 0 0 -0.44935 1.97669 0.201851 -0.15652 2.08402 0.0123937
3.89862 2.10446 0.00387472 -2.27361e-07 5.16674e-08 0 0 -0.303745 2.08737 0.190322 -0.165284 2.08493 0.0130877
3.90862 2.10427 0.00363625 -2.18327e-07 4.75766e-08 0 0 -0.232229 2.24699 0.18466 -0.177925 2.08538 0.0140887
3.91862 2.10426 0.00336074 -2.09932e-07 4.39466e-08 0 0 -0.264401 2.42833 0.187208 -0.192285 2.08518 0.0152259
3.92862 2.1044 0.00312279 -2.02115e-07 4.07114e-08 0 0 -0.416782 2.57726 0.199275 -0.204079 2.08422 0.0161598
3.93862 2.10464 0.00295741 -1.9482e-07 3.78166e-08 0 0 -0.664913 2.62479 0.218925 -0.207842 2.08267 0.0164578
3.94862 2.10495 0.0028743 -1.88e-07 3.52164e-08 0 0 -0.935052 2.52931 0.240317 -0.200282 2.08097 0.0158592
3.95862 2.10531 0.002873 -1.81611e-07 3.28727e-08 0 0 -1.14397 2.31134 0.256861 -0.183021 2.07966 0.0144924
3.96862 2.1057 0.00295194 -1.75615e-07 3.0753e-08 0 0 -1.24981 2.03414 0.265243 -0.161071 2.079 0.0127543
3.97862 2.10612 0.00311248 -1.69978e-07 2.88299e-08 0 0 -1.25888 1.7572 0.265962 -0.139142 2.07894 0.0110178
3.98862 2.10655 0.0033608 -1.64671e-07 2.70801e-08 0 0 -1.19959 1.5133 0.261268 -0.119828 2.07931 0.00948841
3.99862 2.10699 0.00370859 -1.59665e-07 2.54835e-08 0 0 -1.10016 1.31252 0.253394 -0.10393 2.07994 0.00822946
4.00862 2.10742 0.00417315 -1.54936e-07 2.40229e-08 0 0 -0.980759 1.15324 0.24394 -0.0913163 2.08068 0.00723066
4.01862 2.10783 0.00477575 -1.50464e-07 2.26833e-08 0 0 -0.853815 1.02988 0.233889 -0.081548 2.08148 0.00645714
4.02862 2.10815 0.00553562 -1.46227e-07 2.14518e-08 0 0 -0.726419 0.936699 0.223802 -0.0741692 2.08228 0.00587282
4.03862 2.10832 0.00645478 -1.42208e-07 2.03171e-08 0 0 -0.602567 0.869096 0.213995 -0.0688156 2.08306 0.00544887
4.04862 2.10824 0.00748813 -1.38392e-07 1.92696e-08 0 0 -0.484827 0.823944 0.204672 -0.0652398 2.08379 0.00516568
4.05862 2.10782 0.00850683 -1.34763e-07 1.83003e-08 0 0 -0.375537 0.799417 0.196018 -0.063297 2.08448 0.00501179
4.06862 2.10707 0.00929944 -1.31308e-07 1.74019e-08 0 0 -0.27786 0.7945 0.188284 -0.0629069 2.08509 0.00498084
4.07862 2.10617 0.00967587 -1.28016e-07 1.65676e-08 0 0 -0.196699 0.807948 0.181857 -0.0639708 2.0856 0.00506501
4.08862 2.10542 0.00962505 -1.24875e-07 1.57915e-08 0 0 -0.139113 0.836247 0.177297 -0.0662105 2.08596 0.00524227
4.09862 2.10503 0.00933927 -1.21876e-07 1.50683e-08 0 0 -0.112814 0.870582 0.175214 -0.0689282 2.08613 0.00545739
4.10862 2.10505 0.00907274 -1.19008e-07 1.43934e-08 0 0 -0.120911 0.894973 0.175854 -0.0708588 2.08608 0.00561018
4.11862 2.10538 0.00901669 -1.16265e-07 1.37625e-08 0 0 -0.15448 0.890785 0.17851 -0.0705269 2.08587 0.00558388
4.12862 2.10591 0.00928138 -1.13637e-07 1.31719e-08 0 0 -0.19212 0.848827 0.181489 -0.0672048 2.08563 0.00532085
